interaction_id,customer_id,contact_date,contact_type,reason,resolution_time_hrs,satisfaction_score
S3001,C1001,2023-01-08,Phone,Query,1.5,4
S3002,C1002,2023-01-18,Email,Complaint,24.0,3
S3003,C1003,2023-01-05,Chat,Complaint,5.0,2
S3004,C1003,2023-01-15,Phone,Complaint,3.0,1
S3005,C1004,2023-01-28,Email,Query,2.0,5
S3006,C1003,2023-02-01,Phone,Complaint,0.5,
S3007,C1005,2023-01-20,Chat,Request,1.0,4
S3008,C1006,2023-02-05,Phone,Request,2.5,3
S3009,C1007,2023-01-25,Email,Complaint,10.0,1
S3010,C1008,2023-02-10,Chat,Query,0.5,5
S3011,C1009,2023-01-15,Phone,Request,1.0,4
S3012,C1010,2023-02-20,Email,Complaint,8.0,2
S3013,C1001,2023-02-15,Chat,Request,1.5,3
S3014,C1002,2023-02-28,Phone,Query,0.5,5
S3015,C1004,2023-03-05,Email,Request,3.0,4
S3016,C1005,2023-03-10,Phone,Complaint,5.0,1
S3017,C1007,2023-03-15,Chat,Complaint,6.0,2
S3018,C1008,2023-03-20,Email,Query,1.0,5
S3019,C1009,2023-03-25,Phone,Request,2.0,4
S3020,C1010,2023-03-30,Chat,Complaint,4.0,1
