transaction_id,customer_id,transaction_date,amount,category,CR/DB
T2001,C1001,2023-01-05,125.50,Groceries,CR
T2002,C1001,2023-01-12,89.99,Dining,CR
T2003,C1002,2023-01-15,1500.00,Travel,CR
T2004,C1003,2023-01-03,45.00,Gas,CR
T2005,C1003,2023-01-20,35.00,Late Fee,DB
T2006,C1004,2023-01-25,75.30,Groceries,CR
T2007,C1001,2023-02-10,25.00,Transaction Fee,DB
T2008,C1002,2023-02-05,95.00,Dining,CR
T2009,C1005,2023-01-18,300.00,Shopping,CR
T2010,C1005,2023-02-12,40.00,Annual Fee,DB
T2011,C1006,2023-01-08,65.40,Groceries,CR
T2012,C1006,2023-02-15,110.00,Dining,CR
T2013,C1007,2023-01-22,55.00,Gas,CR
T2014,C1007,2023-02-18,30.00,Late Fee,DB
T2015,C1008,2023-01-30,2000.00,Travel,CR
T2016,C1008,2023-02-20,150.00,Shopping,CR
T2017,C1009,2023-01-12,85.00,Dining,CR
T2018,C1009,2023-02-08,25.00,Transaction Fee,DB
T2019,C1010,2023-01-25,60.00,Gas,CR
T2020,C1010,2023-02-22,35.00,Late Fee,DB
T2021,C1001,2023-03-05,100.00,Dining,CR
T2022,C1002,2023-03-10,2200.00,Travel,CR
T2023,C1003,2023-02-28,35.00,Late Fee,DB
T2024,C1004,2023-02-15,800.00,Shopping,CR
T2025,C1005,2023-03-12,400.00,Electronics,CR
T2026,C1006,2023-03-18,120.00,Dining,CR
T2027,C1007,2023-03-20,50.00,Gas,CR
T2028,C1008,2023-03-05,3000.00,Travel,CR
T2029,C1009,2023-03-15,200.00,Shopping,CR
T2030,C1010,2023-03-25,45.00,Transaction Fee,DB
